review_id,sample_id,target_paper,case_type,task_mode,difficulty,review_reason,requirement_nl,clarified_requirement,oracle_answer,signal_context,predicted_formula,gold_formula,alternative_gold_stl,predicted_question,gold_clarification_question,equivalence_hint,affected_condition_count,affected_conditions,reviewer_1_decision,reviewer_1_error_category,reviewer_1_notes,reviewer_2_decision,reviewer_2_error_category,reviewer_2_notes,final_decision,final_error_category,final_notes
MR-046,NLSTL150-069,ChatSTL,limitation_probe,translate,4,Valid but non-identical formula; semantic equivalence not established,Proceed through the intersection only when the light is green and no pedestrian is in the crosswalk.,,,"Boolean (1=true, 0=false): `proceed`, `light_green`, `pedestrian_in_crosswalk`. Time: follows the requirement; unbounded operators have no finite interval. Use these exact identifiers; do not create aliases.",G((proceed = 1) -> ((light_green = 1) & (pedestrian_in_crosswalk = 0))),G(proceed -> ((light_green = 1) & (pedestrian_in_crosswalk = 0))),,,,"Possible Boolean-shorthand equivalence (e.g., x versus x = 1); confirm signal_context declares the identifier Boolean.",1,Clarify-inspired Anthropic,,,,,,,,,
MR-047,NLSTL150-069,ChatSTL,limitation_probe,translate,4,Valid but non-identical formula; semantic equivalence not established,Proceed through the intersection only when the light is green and no pedestrian is in the crosswalk.,,,"Boolean (1=true, 0=false): `proceed`, `light_green`, `pedestrian_in_crosswalk`. Time: follows the requirement; unbounded operators have no finite interval. Use these exact identifiers; do not create aliases.",G(proceed -> (light_green & !pedestrian_in_crosswalk)),G(proceed -> ((light_green = 1) & (pedestrian_in_crosswalk = 0))),,,,"Possible Boolean-shorthand equivalence (e.g., x versus x = 1); confirm signal_context declares the identifier Boolean.",2,Anthropic direct; Clarify-inspired OpenAI,,,,,,,,,
MR-048,NLSTL150-074,ChatSTL,limitation_probe,translate,5,Valid but non-identical formula; semantic equivalence not established,Perform a U-turn only after confirming that both directions are clear for 4 seconds.,,,"Boolean (1=true, 0=false): `u_turn_started`, `left_clear`, `right_clear`. Time: seconds. Use these exact identifiers; do not create aliases.","G(u_turn_started -> H[0,4](left_clear & right_clear))","G(u_turn_started -> H[0,4]((left_clear = 1) & (right_clear = 1)))",,,,"Possible Boolean-shorthand equivalence (e.g., x versus x = 1); confirm signal_context declares the identifier Boolean.",1,Anthropic direct,,,,,,,,,
MR-049,NLSTL150-075,ChatSTL,limitation_probe,translate,5,Valid but non-identical formula; semantic equivalence not established,"Within 30 seconds, move to the right lane, remain there for at least 5 seconds, and then take the exit.",,,"Boolean (1=true, 0=false): `right_lane`, `exit_taken`. Time: seconds. Use these exact identifiers; do not create aliases.","F[0,30](G[0,5](right_lane) & F(exit_taken))","F[0,30]((right_lane = 1) & G[0,5](right_lane = 1) & F(exit_taken = 1))",,,,,1,Anthropic direct,,,,,,,,,
MR-050,NLSTL150-076,ChatSTL,limitation_probe,translate,5,Valid but non-identical formula; semantic equivalence not established,"Visit checkpoint A, then B, and arrive at the destination within 10 minutes without entering toll roads.",,,"Boolean (1=true, 0=false): `checkpoint_A`, `checkpoint_B`, `destination`, `toll_road`. Time: seconds in STL intervals; convert stated minutes to seconds. Use these exact identifiers; do not create aliases.","F[0,600](checkpoint_A & F(checkpoint_B & F(destination))) & G[0,600](!toll_road)","F[0,600](checkpoint_A & F(checkpoint_B & F(destination))) & G(!(toll_road = 1))",,,,,1,Anthropic direct,,,,,,,,,
MR-051,NLSTL150-078,ChatSTL,limitation_probe,clarify_then_translate,3,Valid but non-identical formula; semantic equivalence not established,Merge when there is a safe gap.,Merge only when front gap is at least 8 metres and rear gap at least 6 metres.,At least 8 metres in front and 6 metres behind.,"Numeric: `front_gap` [m], `rear_gap` [m]. Boolean (1=true, 0=false): `merge_started`. Time: follows the requirement; unbounded operators have no finite interval. Use these exact identifiers; do not create aliases.",G((front_gap >= 8 & rear_gap >= 6) -> merge_started = 1),G(merge_started -> ((front_gap >= 8) & (rear_gap >= 6))),,"What numerical thresholds on `front_gap` and `rear_gap` define a safe gap, and must `merge_started` become true immediately when both thresholds are satisfied?",What front and rear distances define a safe gap?,,2,Anthropic direct; OpenAI direct,,,,,,,,,
MR-052,NLSTL150-081,ChatSTL,limitation_probe,translate,3,Valid but non-identical formula; semantic equivalence not established,The warehouse robot must pick a package and deliver it to station B within 60 seconds.,,,"Boolean (1=true, 0=false): `package_at_station_B`. Time: seconds. Use these exact identifiers; do not create aliases.","F[0,60](package_at_station_B)","F[0,60](package_at_station_B = 1)",,,,,1,Anthropic direct,,,,,,,,,
MR-053,NLSTL150-082,ChatSTL,limitation_probe,translate,4,Valid but non-identical formula; semantic equivalence not established,The drone must remain below 120 metres and reach the inspection point within 90 seconds.,,,"Numeric: `altitude` [m]. Boolean (1=true, 0=false): `inspection_point`. Time: seconds. Use these exact identifiers; do not create aliases.","G(altitude < 120) & F[0,90](inspection_point = 1)","G(altitude <= 120) & F[0,90](inspection_point = 1)",,,,,3,Anthropic direct; Clarify-inspired OpenAI; OpenAI direct,,,,,,,,,
MR-054,NLSTL150-083,ChatSTL,limitation_probe,translate,4,Valid but non-identical formula; semantic equivalence not established,"While yielding, keep longitudinal acceleration between -2 and 1.5 m/s² and jerk below 1 m/s³.",,,"Numeric: `accel` [m/s^2], `jerk` [m/s^3]. Boolean (1=true, 0=false): `yielding`. Semantics: `abs(x)` = absolute value. Time: follows the requirement; unbounded operators have no finite interval. Use these exact identifiers; do not create aliases.",G(yielding -> ((accel >= -2) & (accel <= 1.5) & (jerk < 1))),G(yielding -> ((accel >= -2) & (accel <= 1.5) & (abs(jerk) < 1))),,,,,1,Clarify-inspired OpenAI,,,,,,,,,
MR-055,NLSTL150-083,ChatSTL,limitation_probe,translate,4,Valid but non-identical formula; semantic equivalence not established,"While yielding, keep longitudinal acceleration between -2 and 1.5 m/s² and jerk below 1 m/s³.",,,"Numeric: `accel` [m/s^2], `jerk` [m/s^3]. Boolean (1=true, 0=false): `yielding`. Semantics: `abs(x)` = absolute value. Time: follows the requirement; unbounded operators have no finite interval. Use these exact identifiers; do not create aliases.",G(yielding = 1 -> (accel >= -2 & accel <= 1.5 & abs(jerk) < 1)),G(yielding -> ((accel >= -2) & (accel <= 1.5) & (abs(jerk) < 1))),,,,,1,OpenAI direct,,,,,,,,,
MR-056,NLSTL150-083,ChatSTL,limitation_probe,translate,4,Valid but non-identical formula; semantic equivalence not established,"While yielding, keep longitudinal acceleration between -2 and 1.5 m/s² and jerk below 1 m/s³.",,,"Numeric: `accel` [m/s^2], `jerk` [m/s^3]. Boolean (1=true, 0=false): `yielding`. Semantics: `abs(x)` = absolute value. Time: follows the requirement; unbounded operators have no finite interval. Use these exact identifiers; do not create aliases.",G(yielding = 1 -> (accel >= -2 & accel <= 1.5 & jerk < 1)),G(yielding -> ((accel >= -2) & (accel <= 1.5) & (abs(jerk) < 1))),,,,,1,Anthropic direct,,,,,,,,,
MR-057,NLSTL150-086,ChatSTL,limitation_probe,translate,5,Valid but non-identical formula; semantic equivalence not established,Enter the intersection only if the traffic light has been green continuously for the previous 2 seconds.,,,"Boolean (1=true, 0=false): `enter_intersection`, `light_green`. Time: seconds. Use these exact identifiers; do not create aliases.","G(enter_intersection -> H[0,2](light_green))","G(enter_intersection -> H[0,2](light_green = 1))",,,,,1,Anthropic direct,,,,,,,,,
MR-058,NLSTL150-090,ChatSTL,limitation_probe,clarify_then_translate,4,"Formula exact, but clarification question may target the wrong slot",Let the other driver go first if they seem impatient.,"If the other vehicle repeatedly honks, remain stopped until it passes.",Impatience means repeated horn use; remain stopped until the other vehicle passes.,"Numeric: `speed`. Boolean (1=true, 0=false): `repeated_horn`, `other_vehicle_passed`. Time: follows the requirement; unbounded operators have no finite interval. Use these exact identifiers; do not create aliases.",G(repeated_horn -> ((speed = 0) U (other_vehicle_passed = 1))),G(repeated_horn -> ((speed = 0) U (other_vehicle_passed = 1))),,"How should 'impatient' be detected (e.g., repeated_horn = 1) and what does 'let the other driver go first' correspond to in terms of speed and other_vehicle_passed (e.g., speed <= some value until other_vehicle_passed = 1)?","What observable behaviour defines impatience, and what action counts as letting the other driver go first?",Formula is exact; adjudicate only whether the clarification question targets the annotated missing slot.,1,Anthropic direct,,,,,,,,,
MR-059,NLSTL150-090,ChatSTL,limitation_probe,clarify_then_translate,4,Valid but non-identical formula; semantic equivalence not established,Let the other driver go first if they seem impatient.,"If the other vehicle repeatedly honks, remain stopped until it passes.",Impatience means repeated horn use; remain stopped until the other vehicle passes.,"Numeric: `speed`. Boolean (1=true, 0=false): `repeated_horn`, `other_vehicle_passed`. Time: follows the requirement; unbounded operators have no finite interval. Use these exact identifiers; do not create aliases.",G((repeated_horn = 1) -> ((speed = 0) U (other_vehicle_passed = 1))),G(repeated_horn -> ((speed = 0) U (other_vehicle_passed = 1))),,"Should 'impatient' be defined using the repeated_horn signal (e.g., repeated_horn becomes true) as the triggering condition, and should 'let them go first' be captured by requiring speed to stay below some threshold until other_vehicle_passed becomes true — if so, what speed threshold and time bound should apply?","What observable behaviour defines impatience, and what action counts as letting the other driver go first?","Possible Boolean-shorthand equivalence (e.g., x versus x = 1); confirm signal_context declares the identifier Boolean.",1,Clarify-inspired Anthropic,,,,,,,,,
MR-060,NLSTL150-090,ChatSTL,limitation_probe,clarify_then_translate,4,Valid but non-identical formula; semantic equivalence not established,Let the other driver go first if they seem impatient.,"If the other vehicle repeatedly honks, remain stopped until it passes.",Impatience means repeated horn use; remain stopped until the other vehicle passes.,"Numeric: `speed`. Boolean (1=true, 0=false): `repeated_horn`, `other_vehicle_passed`. Time: follows the requirement; unbounded operators have no finite interval. Use these exact identifiers; do not create aliases.",G(repeated_horn = 1 -> ((speed = 0) U (other_vehicle_passed = 1))),G(repeated_horn -> ((speed = 0) U (other_vehicle_passed = 1))),,Which canonical predicates and temporal relationship should represent “the other driver seems impatient” and “let the other driver go first”?,"What observable behaviour defines impatience, and what action counts as letting the other driver go first?","Possible Boolean-shorthand equivalence (e.g., x versus x = 1); confirm signal_context declares the identifier Boolean.",1,OpenAI direct,,,,,,,,,
MR-061,NLSTL150-091,ClarifySTL,expected_strength,clarify_then_translate,3,"Formula exact, but clarification question may target the wrong slot","During 10 to 150 seconds, if signal x1 exceeds 0.2, signal x2 will decrease for the next 30 seconds.","During 10 to 150 seconds, whenever x1 exceeds 0.2, x2 must become lower than 0.5 within the following 30 seconds.",Below 0.5.,"Numeric: `x1`, `x2`. Time: seconds. Use these exact identifiers; do not create aliases.","G[10,150]((x1 > 0.2) -> F[0,30](x2 < 0.5))","G[10,150]((x1 > 0.2) -> F[0,30](x2 < 0.5))",,"What precisely should “x2 will decrease for the next 30 seconds” mean: strictly monotonically decreasing throughout that interval, below its value at the trigger time throughout it, or something else?",Below what numerical value must x2 decrease?,Formula is exact; adjudicate only whether the clarification question targets the annotated missing slot.,1,Clarify-inspired OpenAI,,,,,,,,,
MR-062,NLSTL150-091,ClarifySTL,expected_strength,clarify_then_translate,3,"Formula exact, but clarification question may target the wrong slot","During 10 to 150 seconds, if signal x1 exceeds 0.2, signal x2 will decrease for the next 30 seconds.","During 10 to 150 seconds, whenever x1 exceeds 0.2, x2 must become lower than 0.5 within the following 30 seconds.",Below 0.5.,"Numeric: `x1`, `x2`. Time: seconds. Use these exact identifiers; do not create aliases.","G[10,150]((x1 > 0.2) -> F[0,30](x2 < 0.5))","G[10,150]((x1 > 0.2) -> F[0,30](x2 < 0.5))",,"When you say signal x2 will 'decrease' for the next 30 seconds, do you mean it must fall below a specific numeric threshold, decrease by a specific amount from its value at the trigger time, or be strictly monotonically decreasing throughout that interval?",Below what numerical value must x2 decrease?,Formula is exact; adjudicate only whether the clarification question targets the annotated missing slot.,1,Clarify-inspired Anthropic,,,,,,,,,
MR-063,NLSTL150-091,ClarifySTL,expected_strength,clarify_then_translate,3,Valid but non-identical formula; semantic equivalence not established,"During 10 to 150 seconds, if signal x1 exceeds 0.2, signal x2 will decrease for the next 30 seconds.","During 10 to 150 seconds, whenever x1 exceeds 0.2, x2 must become lower than 0.5 within the following 30 seconds.",Below 0.5.,"Numeric: `x1`, `x2`. Time: seconds. Use these exact identifiers; do not create aliases.","G[10,150]((x1 > 0.2) -> G[0,30](x2 < 0.5))","G[10,150]((x1 > 0.2) -> F[0,30](x2 < 0.5))",,"What precise predicate or trend semantics should represent “x2 will decrease for the next 30 seconds” (for example, a specified threshold condition, a derivative bound, or comparison with its value at the trigger time)?",Below what numerical value must x2 decrease?,,1,OpenAI direct,,,,,,,,,
MR-064,NLSTL150-093,ClarifySTL,expected_strength,clarify_then_translate,2,Valid but non-identical formula; semantic equivalence not established,"After a fault, recovery should begin soon.","Whenever a fault occurs, recovery must begin within 5 seconds.",Within 5 seconds.,"Boolean (1=true, 0=false): `fault`, `recovery`. Semantics: `rise(p)` = false-to-true edge. Time: seconds. Use these exact identifiers; do not create aliases.","G(rise(fault) -> F[0,5](recovery = 1))","G(rise(fault = 1) -> F[0,5](recovery = 1))",,Within how many time units after a fault (rise(fault)) must recovery become true?,What is the maximum allowed delay before recovery begins?,,1,Clarify-inspired Anthropic,,,,,,,,,
MR-065,NLSTL150-093,ClarifySTL,expected_strength,clarify_then_translate,2,Valid but non-identical formula; semantic equivalence not established,"After a fault, recovery should begin soon.","Whenever a fault occurs, recovery must begin within 5 seconds.",Within 5 seconds.,"Boolean (1=true, 0=false): `fault`, `recovery`. Semantics: `rise(p)` = false-to-true edge. Time: seconds. Use these exact identifiers; do not create aliases.","G(rise(fault) -> F[0,5](rise(recovery)))","G(rise(fault = 1) -> F[0,5](recovery = 1))",,What finite time interval defines “soon” after rise(fault) for rise(recovery) to occur?,What is the maximum allowed delay before recovery begins?,,3,Anthropic direct; Clarify-inspired OpenAI; OpenAI direct,,,,,,,,,
MR-066,NLSTL150-096,ClarifySTL,limitation_probe,clarify_then_translate,4,Valid but non-identical formula; semantic equivalence not established,"When the tank is nearly full, close the inlet shortly afterward.","Whenever tank level exceeds 90%, close the inlet within 2 seconds.",Nearly full means above 90%; close within 2 seconds.,"Numeric: `tank_level` [%]. Boolean (1=true, 0=false): `inlet_closed`. Time: seconds. Use these exact identifiers; do not create aliases.","G(rise(tank_level > 90) -> F[0,2](inlet_closed = 1))","G((tank_level > 90) -> F[0,2](inlet_closed = 1))",,"What numeric threshold defines 'nearly full' for tank_level, and what is the maximum time delay (in seconds) allowed before inlet_closed must become true afterward?","What fill level defines nearly full, and what maximum closing delay is allowed?",Likely transition-versus-state difference: rise(x) is generally stricter than x being true.,1,Clarify-inspired Anthropic,,,,,,,,,
MR-067,NLSTL150-099,ClarifySTL,limitation_probe,clarify_then_translate,5,Valid but non-identical formula; semantic equivalence not established,"If valve A opens near valve B while pump C is active, it must stop it within 2 seconds.","If valve A opens near valve B while pump C is active, the controller must stop pump C within 2 seconds.",The controller must stop pump C.,"Boolean (1=true, 0=false): `valve_A_open`, `near_A_B`, `pump_C`. Time: seconds. Use these exact identifiers; do not create aliases.","G(((rise(valve_A_open = 1) & (near_A_B = 1) & (pump_C = 1)) -> F[0,2](pump_C = 0)))","G(((valve_A_open = 1) & (near_A_B = 1) & (pump_C = 1)) -> F[0,2](pump_C = 0))",,"When valve A opens (i.e., valve_A_open rises) while near_A_B and pump_C are true, should pump_C be required to become false within 2 seconds?","What does the first “it” refer to, and what must be stopped?",Likely transition-versus-state difference: rise(x) is generally stricter than x being true.,1,Clarify-inspired OpenAI,,,,,,,,,
MR-068,NLSTL150-100,ClarifySTL,limitation_probe,clarify_then_translate,4,Valid but non-identical formula; semantic equivalence not established,Every robot must visit a charging station within 60 seconds.,"Within 60 seconds, every robot must visit at least one charging station.",Each robot may visit any charging station.,"Boolean (1=true, 0=false): `station_any_r1`, `station_any_r2`, `station_any_r3`. Time: seconds. Use these exact identifiers; do not create aliases.","F[0,60](station_any_r1 = 1) & F[0,60](station_any_r2 = 1) & F[0,60](station_any_r3 = 1)","F[0,60](station_any_r1) & F[0,60](station_any_r2) & F[0,60](station_any_r3)",,"Which canonical signal or predicate represents each individual robot being at (or arriving at) a charging station, so that “every robot” and “visit” can be formalized?","May each robot visit any charging station, or must each visit its assigned station?",,2,Clarify-inspired Anthropic; OpenAI direct,,,,,,,,,
MR-069,NLSTL150-101,ClarifySTL,limitation_probe,clarify_then_translate,4,Valid but non-identical formula; semantic equivalence not established,"If A or B and C, then D.","If A holds, or both B and C hold, then D must hold.",A OR (B AND C).,"Boolean (1=true, 0=false): `A`, `B`, `C`, `D`. Time: follows the requirement; unbounded operators have no finite interval. Use these exact identifiers; do not create aliases.",((A = 1) | ((B = 1) & (C = 1))) -> (D = 1),G(((A = 1) | ((B = 1) & (C = 1))) -> (D = 1)),,Should the antecedent be grouped as `(A or B) and C` or as `A or (B and C)`?,"Should the trigger be A OR (B AND C), or (A OR B) AND C?",,1,Clarify-inspired OpenAI,,,,,,,,,
MR-070,NLSTL150-101,ClarifySTL,limitation_probe,clarify_then_translate,4,Valid but non-identical formula; semantic equivalence not established,"If A or B and C, then D.","If A holds, or both B and C hold, then D must hold.",A OR (B AND C).,"Boolean (1=true, 0=false): `A`, `B`, `C`, `D`. Time: follows the requirement; unbounded operators have no finite interval. Use these exact identifiers; do not create aliases.",G((A | (B & C)) -> D),G(((A = 1) | ((B = 1) & (C = 1))) -> (D = 1)),,"Should the antecedent be grouped as A | (B & C), or as (A | B) & C?","Should the trigger be A OR (B AND C), or (A OR B) AND C?","Possible Boolean-shorthand equivalence (e.g., x versus x = 1); confirm signal_context declares the identifier Boolean.",2,Anthropic direct; OpenAI direct,,,,,,,,,
MR-071,NLSTL150-103,ClarifySTL,limitation_probe,clarify_then_translate,4,Valid but non-identical formula; semantic equivalence not established,The drone should approach smoothly and remain reasonably close.,"During approach, jerk must remain below 1 m/s³ and distance must remain below 2 m.",Jerk below 1 m/s³ and distance below 2 m.,"Numeric: `jerk` [m/s^3], `distance` [m]. Boolean (1=true, 0=false): `approach`. Semantics: `abs(x)` = absolute value. Time: follows the requirement; unbounded operators have no finite interval. Use these exact identifiers; do not create aliases.",G((approach = 1) & (abs(jerk) < 1) & (distance < 2)),G(approach -> ((abs(jerk) < 1) & (distance < 2))),,"What quantitative bounds define “smoothly” (e.g., a maximum absolute `jerk`) and “reasonably close” (a maximum `distance`), and must both conditions hold continuously for the entire evaluation horizon?",What limits define smooth approach and reasonable closeness?,,1,OpenAI direct,,,,,,,,,
MR-072,NLSTL150-103,ClarifySTL,limitation_probe,clarify_then_translate,4,Valid but non-identical formula; semantic equivalence not established,The drone should approach smoothly and remain reasonably close.,"During approach, jerk must remain below 1 m/s³ and distance must remain below 2 m.",Jerk below 1 m/s³ and distance below 2 m.,"Numeric: `jerk` [m/s^3], `distance` [m]. Boolean (1=true, 0=false): `approach`. Semantics: `abs(x)` = absolute value. Time: follows the requirement; unbounded operators have no finite interval. Use these exact identifiers; do not create aliases.",G((approach = 1) -> ((abs(jerk) < 1) & (distance < 2))),G(approach -> ((abs(jerk) < 1) & (distance < 2))),,"What numeric thresholds should be used for 'smoothly' (e.g., a bound on jerk) and 'reasonably close' (e.g., a bound on distance), and over what time interval should these conditions hold?",What limits define smooth approach and reasonable closeness?,"Possible Boolean-shorthand equivalence (e.g., x versus x = 1); confirm signal_context declares the identifier Boolean.",1,Anthropic direct,,,,,,,,,
MR-073,NLSTL150-103,ClarifySTL,limitation_probe,clarify_then_translate,4,Valid but non-identical formula; semantic equivalence not established,The drone should approach smoothly and remain reasonably close.,"During approach, jerk must remain below 1 m/s³ and distance must remain below 2 m.",Jerk below 1 m/s³ and distance below 2 m.,"Numeric: `jerk` [m/s^3], `distance` [m]. Boolean (1=true, 0=false): `approach`. Semantics: `abs(x)` = absolute value. Time: follows the requirement; unbounded operators have no finite interval. Use these exact identifiers; do not create aliases.",G((approach = 1) -> (abs(jerk) < 1 & distance < 2)),G(approach -> ((abs(jerk) < 1) & (distance < 2))),,"What numeric thresholds should be used (e.g., max abs(jerk) for 'smooth' and max distance for 'reasonably close'), and over what time interval must the distance condition hold?",What limits define smooth approach and reasonable closeness?,,1,Clarify-inspired Anthropic,,,,,,,,,
MR-074,NLSTL150-109,ClarifySTL,limitation_probe,clarify_then_translate,4,Valid but non-identical formula; semantic equivalence not established,Prevent battery over-discharge.,"Whenever state of charge is below 15%, disconnect the load within 1 second.",Below 15% is over-discharge; disconnect the load within 1 second.,"Numeric: `soc` [%]. Boolean (1=true, 0=false): `load_connected`. Time: seconds. Use these exact identifiers; do not create aliases.","G((soc < 15) -> F[0,1](!load_connected))","G((soc < 15) -> F[0,1](load_connected = 0))",,What minimum `soc` threshold (%) must be maintained to prevent over-discharge?,"Which state-of-charge threshold defines over-discharge, and what response is required?",,1,OpenAI direct,,,,,,,,,
MR-075,NLSTL150-111,ClarifySTL,limitation_probe,clarify_then_translate,5,Valid but non-identical formula; semantic equivalence not established,"Whenever A occurs, B must eventually remain true for 5 seconds within 20 seconds.","Whenever A occurs, B must start a 5-second continuous true interval no later than 15 seconds afterward.",Yes.,"Boolean (1=true, 0=false): `A`, `B`. Semantics: `rise(p)` = false-to-true edge. Time: seconds. Use these exact identifiers; do not create aliases.","G(rise(A) -> F[0,20](G[0,5](B)))","G(rise(A = 1) -> F[0,15](G[0,5](B = 1)))",,"Does 'A occurs' refer to the rising edge rise(A) (a one-time trigger when A transitions from false to true), or should the response condition be re-evaluated at every time instant where A is true?",Must the full 5-second persistence interval finish within 20 seconds after A?,,1,Clarify-inspired Anthropic,,,,,,,,,
MR-076,NLSTL150-115,ClarifySTL,limitation_probe,clarify_then_translate,4,"Formula exact, but clarification question may target the wrong slot",Switch to safe mode when the system is unstable.,"Whenever oscillation amplitude exceeds 0.5 or error growth exceeds 0.1 per second, safe mode must activate.",Instability means oscillation_amplitude above 0.5 or error_growth above 0.1 per second.,"Numeric: `oscillation_amplitude`, `error_growth`. Boolean (1=true, 0=false): `safe_mode`. Time: seconds. Use these exact identifiers; do not create aliases.",G((oscillation_amplitude > 0.5 | error_growth > 0.1) -> (safe_mode = 1)),G(((oscillation_amplitude > 0.5) | (error_growth > 0.1)) -> (safe_mode = 1)),,"What specific threshold values for oscillation_amplitude and error_growth define 'unstable', and must both conditions hold simultaneously or is either one sufficient?",Which measurable signals define instability?,Formula is exact; adjudicate only whether the clarification question targets the annotated missing slot.,1,Clarify-inspired Anthropic,,,,,,,,,
MR-077,NLSTL150-117,ClarifySTL,limitation_probe,clarify_then_translate,4,Valid but non-identical formula; semantic equivalence not established,"Unless override is active, if temperature exceeds 80 or pressure exceeds 10, shut down.","If override is inactive and either temperature exceeds 80 or pressure exceeds 10, shut down.",It disables both triggers.,"Numeric: `temperature`, `pressure`. Boolean (1=true, 0=false): `override`, `shutdown`. Time: follows the requirement; unbounded operators have no finite interval. Use these exact identifiers; do not create aliases.",G((!override) -> ((temperature > 80 | pressure > 10) -> shutdown)),G((!(override = 1) & ((temperature > 80) | (pressure > 10))) -> (shutdown = 1)),,"Within what time frame (if any) must the shutdown occur after temperature exceeds 80 or pressure exceeds 10 while override is inactive, or should shutdown be required to hold immediately and continuously whenever that condition is true?","Does override disable both triggers, or only the pressure trigger?",,1,Clarify-inspired Anthropic,,,,,,,,,
MR-078,NLSTL150-118,ClarifySTL,limitation_probe,clarify_then_translate,4,"Formula exact, but clarification question may target the wrong slot",Remain stopped until the light turns green.,"The vehicle must remain stopped until the light turns green, and the light is required eventually to turn green.",The light must eventually turn green.,"Numeric: `speed`. Boolean (1=true, 0=false): `light_green`. Time: follows the requirement; unbounded operators have no finite interval. Use these exact identifiers; do not create aliases.",(speed = 0) U (light_green = 1),(speed = 0) U (light_green = 1),,"What exact speed value or threshold defines 'stopped' (e.g., speed == 0, or speed < some epsilon)?","Must the light eventually turn green, or is remaining stopped forever acceptable if it never does?",Formula is exact; adjudicate only whether the clarification question targets the annotated missing slot.,1,Clarify-inspired Anthropic,,,,,,,,,
MR-079,NLSTL150-120,ClarifySTL,limitation_probe,clarify_then_translate,5,Valid but non-identical formula; semantic equivalence not established,"After the object is ready, move it there soon and hold it for a while.","Whenever the object becomes ready, move it to the inspection fixture within 5 seconds and keep it there for 10 seconds.",The inspection fixture; move there within 5 seconds and hold it there for 10 seconds.,"Boolean (1=true, 0=false): `object_ready`, `at_inspection_fixture`. Semantics: `rise(p)` = false-to-true edge. Time: seconds. Use these exact identifiers; do not create aliases.","G(rise(object_ready) -> F[0,5](G[0,10](at_inspection_fixture)))","G(rise(object_ready = 1) -> F[0,5](G[0,10](at_inspection_fixture = 1)))",,"What time bound defines “soon,” what duration defines “for a while,” and should the requirement be triggered by rise(object_ready) or by object_ready being true?","First, what location does “there” denote? Then, what response deadline and holding duration are required?",,2,Anthropic direct; OpenAI direct,,,,,,,,,
MR-080,NLSTL150-120,ClarifySTL,limitation_probe,clarify_then_translate,5,Valid but non-identical formula; semantic equivalence not established,"After the object is ready, move it there soon and hold it for a while.","Whenever the object becomes ready, move it to the inspection fixture within 5 seconds and keep it there for 10 seconds.",The inspection fixture; move there within 5 seconds and hold it there for 10 seconds.,"Boolean (1=true, 0=false): `object_ready`, `at_inspection_fixture`. Semantics: `rise(p)` = false-to-true edge. Time: seconds. Use these exact identifiers; do not create aliases.","G(rise(object_ready) -> F[0,5](at_inspection_fixture & G[0,10](at_inspection_fixture)))","G(rise(object_ready = 1) -> F[0,5](G[0,10](at_inspection_fixture = 1)))",,"Should the obligation start at rise(object_ready), and what exact deadline for reaching at_inspection_fixture and minimum holding duration are required?","First, what location does “there” denote? Then, what response deadline and holding duration are required?",,2,Clarify-inspired Anthropic; Clarify-inspired OpenAI,,,,,,,,,
MR-081,NLSTL150-121,Formula-first robotics,source_formula,translate,3,Valid but non-identical formula; semantic equivalence not established,"At all times, the robot's measured forward velocity must differ from the commanded forward velocity by no more than 0.5.",,,"Numeric signals: `cmd_linear_x` [m/s] is commanded forward velocity from ROS `cmd_vel`; `robot_linear_x` [m/s] is measured forward velocity from odometry. `abs(x)` is absolute value. Use these flattened canonical identifiers, not raw ROS field paths.",G(abs(robot_linear_x - cmd_linear_x) <= 0.5),G(abs(cmd_linear_x - robot_linear_x) <= 0.5),,,,Possible absolute-difference symmetry: |a-b| = |b-a|.,4,Anthropic direct; Clarify-inspired Anthropic; Clarify-inspired OpenAI; OpenAI direct,,,,,,,,,
MR-082,NLSTL150-123,Formula-first robotics,source_formula,translate,4,Valid but non-identical formula; semantic equivalence not established,"Whenever robot 2 comes within distance d of robot 1, robot 1 must reach within d_prime of location L within T seconds.",,,"Objects/locations: `rob1_pos` (robot-1 position), `rob2_pos` (robot-2 position). Parameters: `d` (proximity-distance parameter), `T` (time horizon/deadline parameter), `L` (target location), `d_prime` (target-distance tolerance parameter). Semantics: `distance(a,b)` = separation distance. Time: seconds. Use these exact identifiers; do not create aliases.","G((distance(rob2_pos,rob1_pos) < d) -> F[0,T](distance(rob1_pos,L) < d_prime))","G((distance(rob1_pos, rob2_pos) < d) -> F[0,T](distance(rob1_pos, L) < d_prime))",,,,Possible symmetric-distance equivalence; pass only if signal_context defines distance as symmetric.,1,Clarify-inspired Anthropic,,,,,,,,,
